City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution
Antananarivo,-18.8791902,47.5079055,,Madagascar,Antananarivo  Madagascar ,15.9090909091,82.3529411765
Arica,-18.4782534,-70.3125988,Arica y Parinacota Region,Chile,Arica Arica y Parinacota Region Chile ,75,50
Suva,-18.1405049,178.4232507,Central Division,Fiji,Suva Central Division Fiji ,57.5,58.75
Nausori,-18.0305343,178.5338895,Central Division,Fiji,Nausori Central Division Fiji ,0,100
Harare,-17.8216288,31.0492259,,Zimbabwe,Harare  Zimbabwe ,38.4615384615,87.5
Port Vila,-17.7332512,168.3273245,Shefa,Vanuatu,Port Vila Shefa Vanuatu ,75,70
El Alto,-16.4899474,-68.2081896,La Paz Department,Bolivia,El Alto La Paz Department Bolivia ,50,100
La Paz,-16.489689,-68.1192936,La Paz Department,Bolivia,La Paz La Paz Department Bolivia ,27.9411764706,79.5454545455
Brasilia,-15.7975154,-47.8918874,Federal District,Brazil,Brasilia Federal District Brazil ,76.5306122449,38.0434782609
Lusaka,-15.3875259,28.3228165,Lusaka Province,Zambia,Lusaka Lusaka Province Zambia ,33.3333333333,98.0769230769
Lilongwe,-13.9626121,33.7741195,Central Region,Malawi,Lilongwe Central Region Malawi ,45,95
Apia,-13.8506958,-171.7513551,,Samoa,Apia  Samoa ,70.8333333333,40
Darwin,-12.4637333,130.8444446,Northern Territory,Australia,Darwin Northern Territory Australia ,84.6590909091,26.9230769231
Lima,-12.0463731,-77.042754,Lima region,Peru,Lima Lima region Peru ,19.75,76.0416666667
Honiara,-9.4456381,159.9728999,,Solomon Islands,Honiara  Solomon Islands ,39.0625,84.7222222222
Port Moresby,-9.4438004,147.1802671,,Papua New Guinea,Port Moresby  Papua New Guinea ,32.2916666667,76.9230769231
Luanda,-8.8146556,13.2301756,Luanda Province,Angola,Luanda Luanda Province Angola ,15,81.25
Denpasar,-8.6704582,115.2126293,Bali,Indonesia,Denpasar Bali Indonesia ,33.6956521739,60.2272727273
Olinda,-7.9920228,-34.8422297,Pernambuco,Brazil,Olinda Pernambuco Brazil ,50,75
Malang,-7.9666204,112.6326321,East Java,Indonesia,Malang East Java Indonesia ,77.1739130435,34.7826086957
Kediri,-7.8480156,112.0178286,East Java,Indonesia,Kediri East Java Indonesia ,75,0
