City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution,,New Water,WA,Rating
Jalgaon,21.0076578,75.5626039,Maharashtra,India,Jalgaon Maharashtra India ,33.75,54.6875,,45.3125,79.0625,39.53125
Hanoi,21.0277644,105.8341598,,Vietnam,Hanoi  Vietnam ,15.70247934,77.35042735,,22.64957265,38.35205199,19.17602599
Nagpur,21.1458004,79.0881546,Maharashtra,India,Nagpur Maharashtra India ,46.61016949,69.44444444,,30.55555556,77.16572505,38.58286252
Cancun,21.161908,-86.8515279,Quintana Roo,Mexico,Cancun Quintana Roo Mexico ,75,55,,45,120,60
Surat,21.1702401,72.8310607,Gujarat,India,Surat Gujarat India ,46.3592233,61.96808511,,38.03191489,84.39113819,42.1955691
Honolulu,21.3069444,-157.8583333,Hawaii,United States of America,Honolulu Hawaii United States of America ,74.58333333,41.51785714,,58.48214286,133.0654762,66.5327381
Mecca,21.3890824,39.8579118,Mecca Province,Saudi Arabia,Mecca Mecca Province Saudi Arabia ,28.57142857,40.625,,59.375,87.94642857,43.97321429
Maoming,21.6632899,110.92523,Guangdong,People's Republic of China,Maoming Guangdong People's Republic of China ,25,50,,50,75,37.5
Rajkot,22.3038945,70.8021599,Gujarat,India,Rajkot Gujarat India ,43.60465116,58.10810811,,41.89189189,85.49654305,42.74827153
Vadodara,22.3071588,73.1812187,Gujarat,India,Vadodara Gujarat India ,43.45794393,65.90909091,,34.09090909,77.54885302,38.77442651
Jamnagar,22.4707019,70.05773,Gujarat,India,Jamnagar Gujarat India ,34.48275862,58.33333333,,41.66666667,76.14942529,38.07471264
Shenzhen,22.5428599,114.05956,Guangdong,People's Republic of China,Shenzhen Guangdong People's Republic of China ,44.87179487,67.01388889,,32.98611111,77.85790598,38.92895299
Kolkata,22.572646,88.363895,West Bengal,India,Kolkata West Bengal India ,25.93457944,68.26923077,,31.73076923,57.66534867,28.83267434
Foshan,23.0218499,113.12192,Guangdong,People's Republic of China,Foshan Guangdong People's Republic of China ,28.57142857,50,,50,78.57142857,39.28571429
Ahmedabad,23.022505,72.5713621,Gujarat,India,Ahmedabad Gujarat India ,32.96296296,66.9921875,,33.0078125,65.97077546,32.98538773
Havana,23.1135925,-82.3665956,Havana Province,Cuba,Havana Havana Province Cuba ,46.66666667,50,,50,96.66666667,48.33333333
Guangzhou,23.1290799,113.26436,Guangdong,People's Republic of China,Guangzhou Guangdong People's Republic of China ,29.32692308,68.47826087,,31.52173913,60.84866221,30.4243311
Gandhinagar,23.2156354,72.6369415,Gujarat,India,Gandhinagar Gujarat India ,87.90322581,50,,50,137.9032258,68.9516129
Durgapur,23.5204443,87.3119227,West Bengal,India,Durgapur West Bengal India ,12.5,50,,50,62.5,31.25
Jieyang,23.5497199,116.37271,Guangdong,People's Republic of China,Jieyang Guangdong People's Republic of China ,12.5,50,,50,62.5,31.25
Muscat,23.5880307,58.3828717,Muscat Governorate,Oman,Muscat Muscat Governorate Oman ,65.57377049,31.73076923,,68.26923077,133.8430013,66.92150063
Dhaka,23.810332,90.4125181,Dhaka Division,Bangladesh,Dhaka Dhaka Division Bangladesh ,14.96815287,78.25342466,,21.74657534,36.71472821,18.3573641
Aswan,24.088938,32.8998293,Aswan Governorate,Egypt,Aswan Aswan Governorate Egypt ,75,25,,75,150,75
Liuzhou,24.3255257,109.4154583,Guangxi,People's Republic of China,Liuzhou Guangxi People's Republic of China ,0,50,,50,50,25
