City,Longitude,Latitude,Region,Country,AirQuality,WaterPollution
Magelang,-7.4797342,110.2176941,Central Java,Indonesia,100,0
Mojokerto,-7.4704747,112.4401329,East Java,Indonesia,100,0
Salatiga,-7.3305234,110.5084366,Central Java,Indonesia,83.3333333333,37.5
Surabaya,-7.2574719,112.7520883,East Java,Indonesia,49.4318181818,57.7777777778
Semarang,-7.0051453,110.4381254,Central Java,Indonesia,55.5555555556,47.5
Bandung,-6.9174639,107.6191228,West Java,Indonesia,40.3846153846,61.7021276596
Cimahi,-6.8840816,107.5413039,West Java,Indonesia,58.3333333333,33.3333333333
Dar es Salaam,-6.792354,39.2083284,Dar es Salaam Region,Tanzania,46.875,76
Bogor,-6.5517758,106.6291304,West Java,Indonesia,67.3076923077,52.0833333333
Depok,-6.4024844,106.7942405,West Java,Indonesia,8.3333333333,91.6666666667
Jakarta,-6.2087634,106.845599,,Indonesia,22.265625,77.1
Tangerang,-6.1701796,106.6403236,Banten,Indonesia,45.4545454545,52.2727272727
Dodoma,-6.162959,35.7516069,Dodoma Region,Tanzania,50,50
Cilegon,-6.0186516,106.0558218,Banten,Indonesia,50,50
Bandar Lampung,-5.4478789,105.2652871,Lampung,Indonesia,62.5,40
Makassar,-5.1476651,119.4327314,South Sulawesi,Indonesia,50,45
Brazzaville,-4.2633597,15.2428853,,Republic of the Congo,37.5,62.5
Kendari,-3.9984597,122.5129742,Southeast Sulawesi,Indonesia,100,0
Arusha,-3.3869254,36.6829927,Arusha Region,Tanzania,91.6666666667,50
Bujumbura,-3.361378,29.3598782,Bujumbura Mairie Province,Burundi,50,75
Banjarmasin,-3.3186067,114.5943784,South Kalimantan,Indonesia,100,0
Manaus,-3.1190275,-60.0217314,Amazonas,Brazil,31.25,46.4285714286
Palembang,-2.9760735,104.7754307,South Sumatra,Indonesia,75,0
Jayapura,-2.5916025,140.6689995,Papua,Indonesia,100,12.5
Sao Luis,-2.5306721,-44.2988947,Maranhao,Brazil,50,100
Palangkaraya,-2.2161048,113.913977,Central Kalimantan,Indonesia,100,0
Kigali,-1.9440727,30.0618851,Kigali province,Rwanda,56.25,50
Jambi,-1.6101229,103.6131203,Jambi,Indonesia,87.5,12.5
Nairobi,-1.2920659,36.8219462,,Kenya,31.25,84.0277777778
Balikpapan,-1.2379274,116.8528526,East Kalimantan,Indonesia,72.2222222222,38.8888888889
Padang,-0.9470832,100.417181,West Sumatra,Indonesia,68.75,25
Samarinda,-0.5016166,117.1264753,East Kalimantan,Indonesia,87.5,0
Quito,-0.1806532,-78.4678382,Pichincha Province,Ecuador,35.8695652174,53.0769230769
Kampala,0.3475964,32.5825197,,Uganda,19,84.0909090909
Libreville,0.4161976,9.4672676,Estuaire Province,Gabon,37.5,87.5
Pekanbaru,0.5070677,101.4477793,Riau,Indonesia,80,25
Tanjung Pinang,0.9185504,104.4665072,Riau Islands,Indonesia,0,25
Batam,1.1300779,104.0529207,Riau Islands,Indonesia,56.25,50
Singapore,1.352083,103.819836,,Singapore,65.8783783784,24.2049469965
Manado,1.4748305,124.8420794,North Sulawesi,Indonesia,50,58.3333333333
Mogadishu,2.0469343,45.3181623,Banaadir,Somalia,60,57.5
Pematangsiantar,2.970042,99.0681668,North Sumatra,Indonesia,100,0
Kuala Lumpur,3.139003,101.686855,,Malaysia,39.4345238095,65.6832298137
Medan,3.5951956,98.6722227,North Sumatra,Indonesia,20.8333333333,43.3333333333
Binjai,3.6135482,98.5025286,North Sumatra,Indonesia,75,0
Malabo,3.7549606,8.7821344,,Equatorial Guinea,70,35
Yaounde,3.8480325,11.5020752,Centre,Cameroon,14.0625,88.6363636364
Male,4.1754959,73.5093474,Kaafu Atoll,Maldives,35.5769230769,87.5
Bangui,4.3946735,18.5581899,,Central African Republic,0,100
Bogota,4.7109886,-74.072092,,Colombia,23.3502538071,48.1578947368
Juba,4.859363,31.57125,,South Sudan,62.5,75
Bandar Seri Begawan,4.9030522,114.939821,Brunei-Muara District,Brunei,82.9545454545,48.8636363636
Abidjan,5.3599517,-4.0082563,,Cote d'Ivoire,6.9444444444,79.4117647059
Banda Aceh,5.5482904,95.3237559,Aceh,Indonesia,71.4285714286,12.5
Accra,5.6037168,-0.1869644,Greater Accra Region,Ghana,20.5555555556,90.7894736842
Paramaribo,5.8520355,-55.2038278,Paramaribo District,Suriname,61.3636363636,54.5454545455
Lome,6.1256261,1.2254183,Maritime,Togo,37.5,75
Monrovia,6.3156068,-10.8073698,Montserrado County,Liberia,16.6666666667,87.5
Lagos,6.5243793,3.3792057,Lagos,Nigeria,20.6081081081,80.5147058824
Sri Jayawardenepura Kotte,6.8867616,79.9187142,Western Province,Sri Lanka,75,75
Colombo,6.9270786,79.861243,Western Province,Sri Lanka,45.1327433628,62.7314814815
Majuro,7.066667,171.266667,,Marshall Islands,43.75,91.6666666667
Ciudad Bolivar,8.0882791,-63.5535552,Bolivar,Venezuela,100,50
Cagayan de Oro,8.4542363,124.6318977,,Philippines,62.5,100
Freetown,8.4656765,-13.2317225,Western Area,Sierra Leone,25,100
Thoothukudi,8.7641661,78.1348361,Tamil Nadu,India,50,50
Butuan,8.9475377,125.5406234,,Philippines,37.5,66.6666666667
Addis Ababa,8.9806034,38.7577605,,Ethiopia,32.2727272727,69.5454545455
Abuja,9.0764785,7.398574,Federal Capital Territory,Nigeria,56.25,71.4285714286
Conakry,9.6411855,-13.5784012,,Guinea,5,93.75
Kochi,9.9312328,76.2673041,Kerala,India,36.5625,68.4027777778
Heredia,9.9981413,-84.1197643,Heredia Province,Costa Rica,35.7142857143,50
Alajuela,10.0159394,-84.2141701,Alajuela Province,Costa Rica,55,50
Barquisimeto,10.0677719,-69.3473509,Lara,Venezuela,25,100
Caracas,10.4805937,-66.9036063,Capital District,Venezuela,43.359375,69.0677966102
Port of Spain,10.6603196,-61.5085625,,Trinidad and Tobago,37.5,69.7916666667
Bacolod,10.6840053,122.9563021,Western Visayas,Philippines,39.2857142857,75
Trinidad,10.691803,-61.222503,Beni Department,Bolivia,75,50
Ho Chi Minh City,10.8230989,106.6296638,,Vietnam,12.2191011236,77.761627907
Coimbatore,11.0168445,76.9558321,Tamil Nadu,India,50,65.7407407407
Tacloban,11.2543388,124.9616867,,Philippines,75,70
Kozhikode,11.2587531,75.78041,Kerala,India,57.2580645161,70.2380952381
Erode,11.3410364,77.7171642,Tamil Nadu,India,50,61.1111111111
Phnom Penh,11.5563738,104.9282099,,Cambodia,26.0638297872,70.8333333333
Djibouti,11.825138,42.590275,Djibouti Region,Djibouti,54.1666666667,54.1666666667
Da Lat,11.9404192,108.4583132,Lâm Đồng,Vietnam,62.5,54.1666666667
Managua,12.1149926,-86.2361744,Managua Department,Nicaragua,58.3333333333,76.6666666667
N'Djamena,12.1348457,15.0557415,,Chad,41.6666666667,41.6666666667
Nha Trang,12.2529152,109.1899018,Khanh Hoa,Vietnam,51.9230769231,57.6923076923
Mysore,12.2958104,76.6393805,Karnataka,India,51.5625,62.5
Bamako,12.6392316,-8.0028892,,Mali,15,62.5
Chennai,13.0826802,80.2707184,Tamil Nadu,India,35.8843537415,73.0701754386
Bridgetown,13.1059816,-59.6131741,Saint Michael,Barbados,90,15
Siem Reap,13.3632533,103.856403,Siem Reap Province,Cambodia,60,95
Banjul,13.454375,-16.5753186,,The Gambia,75,62.5
Niamey,13.5115963,2.1253854,,Niger,25,100
San Salvador,13.6929403,-89.2181911,San Salvador Department,El Salvador,18.4210526316,76.5625
Bangkok,13.7563309,100.5017651,,Thailand,26.8518518519,70.8333333333
Salvador,13.794185,-88.89653,Bahia,Brazil,83,51.3157894737
Lipa,13.941876,121.1644198,,Philippines,87.5,25
Castries,14.0101094,-60.9874687,Castries Quarter,Saint Lucia,70.8333333333,33.3333333333
Tegucigalpa,14.065049,-87.1715002,Francisco Morazan Department,Honduras,22.619047619,88.4615384615
Cabuyao,14.2471423,121.1366715,,Philippines,25,100
Muntinlupa,14.4081327,121.0414667,Metro Manila,Philippines,40.625,83.3333333333
Las Pinas,14.444546,120.9938736,Metro Manila,Philippines,33.3333333333,75
Pasay,14.5377516,121.0013794,Metro Manila,Philippines,25,100
Makati,14.554729,121.0244452,Metro Manila,Philippines,34.2105263158,70.9459459459
Pasig,14.5763768,121.0851097,Metro Manila,Philippines,27.9411764706,82.6923076923
Mandaluyong,14.5794443,121.0359174,Metro Manila,Philippines,12.5,82.5
Manila,14.5995124,120.9842195,Metro Manila,Philippines,17.0157068063,83.7431693989
Antipolo,14.6254827,121.1244847,,Philippines,60.2941176471,75
Guatemala City,14.6349149,-90.5068824,Guatemala Department,Guatemala,39.2857142857,69.53125
Marikina,14.65073,121.1028546,Metro Manila,Philippines,83.3333333333,66.6666666667
Malabon,14.6680747,120.9658454,Metro Manila,Philippines,25,50
Quezon City,14.6760413,121.0437003,Metro Manila,Philippines,23.8095238095,80.1282051282
Valenzuela,14.7010556,120.9830225,Metro Manila,Philippines,48.6842105263,88.1578947368
Dakar,14.716677,-17.4676861,Dakar,Senegal,10.3448275862,82
